file,kind,lines,importedBy,anyCount,consoleCount,todoCount,useEffectCount,useMemoCount,useCallbackCount,action,priority,reasons
"src/pages/EditProfilePage.tsx","page","587","1","3","3","0","0","0","0","refactor","medium","Large file (587 lines)"
"src/pages/FAQPage.tsx","page","121","1","1","0","0","0","0","0","keep","low","No major issues by static heuristics"
"src/pages/FavoritesPage.tsx","page","133","1","1","0","0","0","0","0","keep","low","No major issues by static heuristics"
"src/pages/HomePage.tsx","page","521","1","3","0","0","0","0","0","refactor","medium","Large file (521 lines)"
"src/pages/LoginPage.tsx","page","1012","1","16","6","0","0","0","0","rewrite","high","Very large file (1012 lines); High any usage (16); Excess debug logs (6)"
"src/pages/ProductDetailsPage.tsx","page","1282","1","0","1","0","5","1","0","rewrite","high","Very large file (1282 lines)"
"src/pages/ProfilePage.tsx","page","578","1","3","0","0","0","0","0","refactor","medium","Large file (578 lines)"
"src/pages/SearchResultsPage.tsx","page","269","1","1","1","0","2","1","0","refactor","low","Moderate-large file (269 lines)"
"src/pages/SellerProfilePage.tsx","page","490","1","9","0","0","1","0","1","refactor","medium","Large file (490 lines); Type debt any usage (9)"
"src/pages/SellItemPage.tsx","page","84","1","0","0","0","0","0","0","keep","low","No major issues by static heuristics"
"src/pages/SettingsPage.tsx","page","563","1","0","0","0","0","0","0","refactor","medium","Large file (563 lines)"
"src/routes/AppRoutes.tsx","route","761","1","2","0","0","1","0","0","refactor","medium","Large file (761 lines)"
"src/services/api.ts","service","2492","18","102","0","0","0","0","0","rewrite","high","Very large file (2492 lines); High any usage (102)"
"src/services/api/client.ts","service","182","1","2","3","0","0","0","0","keep","low","No major issues by static heuristics"
"src/services/chatService.ts","service","153","1","0","4","0","0","0","0","keep","low","No major issues by static heuristics"
"src/styles/globals.css","style","380","1","0","0","0","0","0","0","refactor","low","Moderate-large file (380 lines)"
"src/translations.ts","other","122","13","0","0","0","0","0","0","keep","low","No major issues by static heuristics"
"src/types/api.ts","type","303","2","0","0","0","0","0","0","refactor","low","Moderate-large file (303 lines)"
"src/types/index.ts","type","132","23","0","0","0","0","0","0","keep","low","No major issues by static heuristics"
"src/utils/index.ts","util","36","2","0","4","0","0","0","0","keep","low","No major issues by static heuristics"
"src/utils/phone.ts","util","27","2","0","0","0","0","0","0","keep","low","No major issues by static heuristics"
"src/utils/sellerDisplayName.ts","util","13","2","0","0","0","0","0","0","keep","low","No major issues by static heuristics"
"src/utils/shareUtils.ts","util","117","1","0","1","0","0","0","0","keep","low","No major issues by static heuristics"
"src/vite-env.d.ts","other","11","0","0","0","0","0","0","0","keep","low","No major issues by static heuristics"
